Report Year,Country,Region,Subregion,Assessment Area,Unit,Description,Actual,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
1990,CA,MRO,-,-,GWh,Net Energy for Load - Annual,32157.00,32204.00,32836.00,33855.00,35006.00,35832.00,36655.00,37479.00,38426.00,39297.00,40041.00,
1990,CA,NPCC,-,-,GWh,Net Energy for Load - Annual,308650.00,310273.00,323334.00,334296.00,344712.00,351460.00,358560.00,368906.00,375491.00,381727.00,389600.00,
1990,CA,NPCC,Maritimes,Maritimes,GWh,Net Energy for Load - Annual,21780.00,23235.00,23967.00,24586.00,25264.00,25954.00,26668.00,27430.00,28221.00,29010.00,29815.00,
1990,CA,NPCC,Ontario,Ontario,GWh,Net Energy for Load - Annual,140770.00,142738.00,146467.00,151510.00,154748.00,158306.00,161492.00,166176.00,168970.00,171817.00,174685.00,
1990,CA,NPCC,Quebec,Quebec,GWh,Net Energy for Load - Annual,146100.00,144300.00,152900.00,158200.00,164700.00,167200.00,170400.00,175300.00,178300.00,180900.00,185100.00,
1990,CA,WECC,-,-,GWh,Net Energy for Load - Annual,85286.00,89445.00,92218.00,95203.00,98029.00,100872.00,103325.00,105814.00,108098.00,110530.00,112972.00,
1990,MX,WECC,CA-MX,-,GWh,Net Energy for Load - Annual,4075.00,4404.00,4785.00,5206.00,5664.00,6166.00,6715.00,7314.00,7895.00,8500.00,9174.00,
1990,US,ECAR,-,-,GWh,Net Energy for Load - Annual,439832.00,447644.00,456863.00,464675.00,470626.00,477081.00,484596.00,492468.00,499849.00,507164.00,514586.00,
1990,US,TRE,-,ERCOT,GWh,Net Energy for Load - Annual,207304.00,205819.00,212854.00,221175.00,227236.00,231673.00,237270.00,244485.00,251514.00,258569.00,266642.00,
1990,US,FRCC,-,FRCC,GWh,Net Energy for Load - Annual,142959.00,145997.00,150842.00,153297.00,158092.00,162590.00,167585.00,172229.00,176684.00,181239.00,186034.00,
