Report Year,Country,Region,Subregion,Assessment Area,Unit,Description,Actual,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
1990,CA,MRO,-,-,MW,Peak Hour Demand - Summer,4427,4541,4791,4920,5081,5191,5202,5309,5433,5541,5636,
1990,CA,MRO,-,-,MW,Peak Hour Demand - Winter,5998,5969,6167,6353,6549,6684,6814,6936,7105,7233,7335,
1990,CA,NPCC,-,-,MW,Peak Hour Demand - Summer,39740,39765,41497,42472,43566,44309,45181,46370,47251,47984,49057,
1990,CA,NPCC,-,-,MW,Peak Hour Demand - Winter,54657,58149,59676,61614,62648,63804,65340,66714,67788,68883,70258,
1990,CA,NPCC,Maritimes,Maritimes,MW,Peak Hour Demand - Summer,2802,3013,3088,3166,3259,3352,3451,3553,3658,3762,3869,
1990,CA,NPCC,Maritimes,Maritimes,MW,Peak Hour Demand - Winter,4161,4519,4657,4783,4923,5061,5203,5349,5497,5643,5791,
1990,CA,NPCC,Ontario,Ontario,MW,Peak Hour Demand - Summer,20025,20169,20709,21300,21706,22107,22497,23014,23433,23789,24163,
1990,CA,NPCC,Ontario,Ontario,MW,Peak Hour Demand - Winter,23491,24615,25336,25880,26356,26855,27321,27990,28378,28788,29207,
1990,CA,NPCC,Quebec,Quebec,MW,Peak Hour Demand - Summer,16913,16583,17700,18006,18601,18850,19233,19803,20160,20433,21025,
1990,CA,NPCC,Quebec,Quebec,MW,Peak Hour Demand - Winter,27005,29015,29683,30951,31369,31888,32816,33375,33913,34452,35260,
1990,CA,WECC,-,-,MW,Peak Hour Demand - Summer,11105,11487,11696,11968,12287,12601,12870,13155,13428,13741,14042,
1990,CA,WECC,-,-,MW,Peak Hour Demand - Winter,13888,14493,14988,15351,15768,16142,16528,16920,17274,17666,18060,
1990,MX,WECC,CA-MX,-,MW,Peak Hour Demand - Summer,817,874,940,1023,1103,1190,1294,1391,1482,1575,1675,
1990,MX,WECC,CA-MX,-,MW,Peak Hour Demand - Winter,556,607,660,712,768,835,898,956,1016,1081,1146,
1990,US,ECAR,-,-,MW,Peak Hour Demand - Summer,75442,78913,80376,81870,83088,84332,85708,87088,88505,89898,91251,
1990,US,ECAR,-,-,MW,Peak Hour Demand - Winter,73080,74455,75846,77051,78219,79373,80788,82055,83345,84617,85756,
1990,US,TRE,-,ERCOT,MW,Peak Hour Demand - Summer,40402,41880,42717,44452,45355,46020,46919,48196,49436,50688,52171,
1990,US,TRE,-,ERCOT,MW,Peak Hour Demand - Winter,38388,34059,35633,36635,37394,38248,39419,40596,41777,43109,44444,
1990,US,FRCC,-,FRCC,MW,Peak Hour Demand - Summer,27972,28010,28742,29165,30077,30899,31861,32671,33449,34270,35107,
1990,US,FRCC,-,FRCC,MW,Peak Hour Demand - Winter,31094,30872,31219,32367,33519,34710,35849,36952,37980,39039,40084,
1990,US,MAAC,-,-,MW,Peak Hour Demand - Summer,41614,42735,43519,44269,44930,45585,46207,46809,47432,48004,48624,
1990,US,MAAC,-,-,MW,Peak Hour Demand - Winter,38161,37825,38767,39731,40631,41512,42298,43134,43905,44698,45423,
1990,US,MAIN,-,-,MW,Peak Hour Demand - Summer,39460,39191,39871,40514,41140,41788,42473,43176,43873,44670,45438,
1990,US,MAIN,-,-,MW,Peak Hour Demand - Winter,33770,32117,32733,33250,33875,34512,35126,35754,36421,37124,37761,
1990,US,MRO,-,-,MW,Peak Hour Demand - Summer,24336,24754,25211,25515,25923,26285,26653,27056,27532,27986,28454,
1990,US,MRO,-,-,MW,Peak Hour Demand - Winter,21360,21087,21511,21892,22207,22547,22898,23299,23711,24110,24573,
1990,US,NPCC,-,-,MW,Peak Hour Demand - Summer,45031,47001,47832,49046,50261,51438,52476,53414,54307,55253,56321,
1990,US,NPCC,-,-,MW,Peak Hour Demand - Winter,42588,45070,45774,46739,47595,48487,49356,50144,50970,51940,52950,
1990,US,NPCC,New England,New England,MW,Peak Hour Demand - Summer,19641,20381,20582,21276,22021,22798,23356,23854,24277,24733,25331,
1990,US,NPCC,New England,New England,MW,Peak Hour Demand - Winter,19585,20870,21064,21529,22015,22517,22946,23324,23730,24270,24840,
1990,US,NPCC,New York,New York,MW,Peak Hour Demand - Summer,25390,26620,27250,27770,28240,28640,29120,29560,30030,30520,30990,
1990,US,NPCC,New York,New York,MW,Peak Hour Demand - Winter,23003,24200,24710,25210,25580,25970,26410,26820,27240,27670,28110,
1990,US,SERC,-,-,MW,Peak Hour Demand - Summer,89757,94009,97017,100704,103602,106063,109046,111906,114734,117431,119876,
1990,US,SERC,-,-,MW,Peak Hour Demand - Winter,90901,86938,90311,92867,95391,97896,100376,102871,105259,107696,110112,
1990,US,SERC,Central,-,MW,Peak Hour Demand - Summer,20768,22408,23155,23983,24827,25686,26565,27266,27965,28668,29371,
1990,US,SERC,Central,-,MW,Peak Hour Demand - Winter,25468,21633,22404,23181,23992,24815,25411,26006,26598,27201,27793,
1990,US,SERC,Southeastern,-,MW,Peak Hour Demand - Summer,29088,30475,31458,32429,33298,34262,35251,36203,37168,38141,39000,
1990,US,SERC,Southeastern,-,MW,Peak Hour Demand - Winter,25268,24654,25451,26135,26837,27544,28249,29037,29821,30485,31206,
1990,US,SERC,VACAR,-,MW,Peak Hour Demand - Summer,39901,41126,42404,44292,45477,46115,47230,48437,49601,50622,51505,
1990,US,SERC,VACAR,-,MW,Peak Hour Demand - Winter,40165,40651,42456,43551,44562,45537,46716,47828,48840,50010,51113,
1990,US,SPP,-,-,MW,Peak Hour Demand - Summer,49439,51030,52050,53008,53777,54797,55954,57092,58180,59275,60404,
1990,US,SPP,-,-,MW,Peak Hour Demand - Winter,42268,38731,39447,40187,41025,41946,42981,43954,44911,45858,46832,
1990,US,WECC,-,-,MW,Peak Hour Demand - Summer,90657,92168,93911,95567,97355,99165,101123,103021,104704,106505,108267,
1990,US,WECC,-,-,MW,Peak Hour Demand - Winter,84768,88754,90173,92277,93555,95278,97014,98721,100290,102001,103767,
1990,US,WECC,AZN,-,MW,Peak Hour Demand - Summer,12176,12303,12616,12901,12915,13331,13729,14039,14347,14573,14894,
1990,US,WECC,AZN,-,MW,Peak Hour Demand - Winter,8921,9609,9809,10331,10678,11032,11361,11611,11883,12072,12348,
1990,US,WECC,CNV,-,MW,Peak Hour Demand - Summer,44437,45263,46254,47325,48473,49462,50512,51517,52367,53390,54383,
1990,US,WECC,CNV,-,MW,Peak Hour Demand - Winter,35675,36236,37058,37950,38362,39168,39944,40777,41396,42263,43062,
1990,US,WECC,NWPP,-,MW,Peak Hour Demand - Summer,27718,28246,28546,28904,29267,29581,29921,30302,30703,31103,31413,
1990,US,WECC,NWPP,-,MW,Peak Hour Demand - Winter,33927,36571,36868,37307,37739,38157,38657,39150,39688,40196,40617,
1990,US,WECC,RMPA,-,MW,Peak Hour Demand - Summer,6326,6452,6581,6711,6812,6930,7091,7290,7405,7558,7700,
1990,US,WECC,RMPA,-,MW,Peak Hour Demand - Winter,6245,6419,6571,6715,6832,6968,7158,7333,7472,7623,7777,
1991,CA,MRO,-,-,MW,Peak Hour Demand - Summer,4329,4504,4644,4771,4929,5068,5205,5317,5452,5565,5688,
1991,CA,MRO,-,-,MW,Peak Hour Demand - Winter,5930,6116,6319,6467,6640,6795,6930,7080,7197,7324,7476,
1991,CA,NPCC,-,-,MW,Peak Hour Demand - Summer,39907,41244,42378,43491,44237,45221,46311,47118,47745,48672,49304,
